school_id,program_code,grade,num_requests,choice_min,choice_max,ay
718,GE,K,37,1,1.0,25-26
718,GE,1,1,1,1.0,25-26
718,GE,2,1,1,1.0,25-26
718,GE,3,1,1,1.0,25-26
718,GE,4,1,1,1.0,25-26
718,GE,5,0,1,1.0,25-26
950,GE,TK,10,1,1.0,25-26
950,MM,TK,2,1,1.0,25-26
505,GE,TK,26,1,1.0,25-26
505,GE,K,19,1,1.0,25-26
505,GE,1,0,1,1.0,25-26
505,GE,2,1,1,1.0,25-26
505,GE,3,1,1,1.0,25-26
505,GE,4,1,1,1.0,25-26
505,GE,5,0,1,1.0,25-26
722,AF,K,3,1,1.0,25-26
722,AF,1,0,1,1.0,25-26
722,AF,2,0,1,1.0,25-26
722,AF,4,0,1,1.0,25-26
722,GE,TK,59,1,1.0,25-26
722,GE,K,41,1,1.0,25-26
722,GE,1,0,1,1.0,25-26
722,GE,2,2,1,1.0,25-26
722,GE,3,1,1,1.0,25-26
722,GE,4,3,1,1.0,25-26
722,GE,5,1,1,1.0,25-26
724,SE,TK,5,1,1.0,25-26
724,SN,TK,4,1,1.0,25-26
725,CA,13,6,1,1.0,25-26
725,ED,9,2,1,1.0,25-26
725,ED,11,0,1,1.0,25-26
725,ED,12,0,1,1.0,25-26
725,GE,9,104,1,1.0,25-26
725,GE,10,1,1,1.0,25-26
725,GE,11,1,1,1.0,25-26
725,GE,12,0,1,1.0,25-26
725,MM,9,2,1,1.0,25-26
725,MM,12,0,1,1.0,25-26
725,MS,9,0,1,1.0,25-26
725,NX,9,16,1,1.0,25-26
725,NX,10,1,1,1.0,25-26
725,SA,9,4,1,1.0,25-26
729,CB,K,24,1,1.0,25-26
729,CB,1,2,1,1.0,25-26
729,CB,2,2,1,1.0,25-26
729,CB,3,1,1,1.0,25-26
729,CB,4,4,1,1.0,25-26
729,GE,K,20,1,1.0,25-26
729,GE,1,2,1,1.0,25-26
729,GE,2,2,1,1.0,25-26
729,GE,3,2,1,1.0,25-26
729,GE,4,2,1,1.0,25-26
729,GE,5,0,1,1.0,25-26
729,SE,K,13,1,1.0,25-26
729,SE,1,0,1,1.0,25-26
729,SN,K,25,1,1.0,25-26
729,SN,1,0,1,1.0,25-26
729,SN,2,0,1,1.0,25-26
729,SN,3,0,1,1.0,25-26
729,SN,4,1,1,1.0,25-26
729,SN,5,1,1,1.0,25-26
723,CB,K,2,1,1.0,25-26
723,GE,TK,12,1,1.0,25-26
723,GE,K,18,1,1.0,25-26
723,GE,1,2,1,1.0,25-26
723,GE,2,3,1,1.0,25-26
723,GE,3,1,1,1.0,25-26
723,GE,4,1,1,1.0,25-26
723,GE,5,0,1,1.0,25-26
723,SB,K,24,1,1.0,25-26
723,SB,1,2,1,1.0,25-26
723,SB,3,2,1,1.0,25-26
723,SB,4,0,1,1.0,25-26
723,SB,5,0,1,1.0,25-26
650,GE,TK,11,1,1.0,25-26
650,GE,K,14,1,1.0,25-26
650,GE,1,3,1,1.0,25-26
650,GE,2,0,1,1.0,25-26
650,GE,3,1,1,1.0,25-26
650,GE,4,1,1,1.0,25-26
650,GE,5,1,1,1.0,25-26
650,SB,K,7,1,1.0,25-26
650,SB,1,2,1,1.0,25-26
650,SB,3,0,1,1.0,25-26
650,SB,4,0,1,1.0,25-26
650,SB,5,0,1,1.0,25-26
735,GE,K,46,1,1.0,25-26
735,GE,1,1,1,1.0,25-26
735,GE,2,1,1,1.0,25-26
735,GE,3,0,1,1.0,25-26
735,GE,4,2,1,1.0,25-26
735,GE,5,4,1,1.0,25-26
928,GE,TK,58,1,1.0,25-26
651,CA,13,4,1,1.0,25-26
651,GE,9,78,1,1.0,25-26
651,GE,10,1,1,1.0,25-26
651,GE,11,2,1,1.0,25-26
651,GE,12,1,1,1.0,25-26
651,MM,9,7,1,1.0,25-26
651,MM,10,1,1,1.0,25-26
651,MM,12,1,1,1.0,25-26
746,GE,TK,41,1,1.0,25-26
746,GE,K,22,1,1.0,25-26
746,GE,1,3,1,1.0,25-26
746,GE,2,3,1,1.0,25-26
746,GE,3,3,1,1.0,25-26
746,GE,4,1,1,1.0,25-26
746,GE,5,1,1,1.0,25-26
746,ME,K,20,1,1.0,25-26
746,ME,1,8,1,1.0,25-26
746,MN,K,51,1,1.0,25-26
746,MN,1,4,1,1.0,25-26
746,MN,2,4,1,1.0,25-26
746,MN,3,1,1,1.0,25-26
746,MN,4,2,1,1.0,25-26
638,GE,TK,5,1,1.0,25-26
638,GE,K,5,1,1.0,25-26
638,GE,1,0,1,1.0,25-26
638,GE,2,0,1,1.0,25-26
638,GE,5,0,1,1.0,25-26
786,AF,TK,2,1,1.0,25-26
786,AF,K,1,1,1.0,25-26
786,AF,1,1,1,1.0,25-26
786,AF,4,0,1,1.0,25-26
786,GE,TK,5,1,1.0,25-26
786,GE,K,14,1,1.0,25-26
786,GE,1,2,1,1.0,25-26
786,GE,2,0,1,1.0,25-26
786,GE,3,1,1,1.0,25-26
786,GE,4,2,1,1.0,25-26
786,GE,5,0,1,1.0,25-26
786,JB,1,1,1,1.0,25-26
786,JB,2,0,1,1.0,25-26
786,JB,3,0,1,1.0,25-26
786,JB,4,1,1,1.0,25-26
786,JE,TK,11,1,1.0,25-26
786,JE,K,28,1,1.0,25-26
569,GE,K,107,1,1.0,25-26
569,GE,1,9,1,1.0,25-26
569,GE,2,4,1,1.0,25-26
569,GE,3,4,1,1.0,25-26
569,GE,4,2,1,1.0,25-26
569,GE,5,2,1,1.0,25-26
569,MM,K,4,1,1.0,25-26
569,MM,1,1,1,1.0,25-26
569,MM,2,0,1,1.0,25-26
778,AF,6,5,1,1.0,25-26
778,AF,7,2,1,1.0,25-26
778,GE,6,299,1,1.0,25-26
778,GE,7,10,1,1.0,25-26
778,GE,8,3,1,1.0,25-26
778,JB,6,53,1,1.0,25-26
778,JB,8,0,1,1.0,25-26
778,MM,6,4,1,1.0,25-26
778,MS,6,3,1,1.0,25-26
790,GE,TK,5,1,1.0,25-26
790,GE,K,14,1,1.0,25-26
790,GE,1,2,1,1.0,25-26
790,GE,2,0,1,1.0,25-26
790,GE,4,0,1,1.0,25-26
790,GE,5,0,1,1.0,25-26
760,GE,TK,5,1,1.0,25-26
760,GE,K,1,1,1.0,25-26
760,GE,1,0,1,1.0,25-26
760,GE,4,0,1,1.0,25-26
760,GE,5,0,1,1.0,25-26
760,GE,6,14,1,1.0,25-26
760,GE,7,0,1,1.0,25-26
760,GE,8,1,1,1.0,25-26
760,MM,K,1,1,1.0,25-26
760,MM,1,0,1,1.0,25-26
760,MM,2,0,1,1.0,25-26
760,SE,K,3,1,1.0,25-26
760,SE,1,0,1,1.0,25-26
760,SN,K,3,1,1.0,25-26
760,SN,1,1,1,1.0,25-26
760,SN,3,0,1,1.0,25-26
760,SN,4,1,1,1.0,25-26
760,SN,5,0,1,1.0,25-26
965,GE,TK,6,1,1.0,25-26
796,GE,TK,53,1,1.0,25-26
