ay,school_id,program_code,program_name
24-25,725,MS,MS: SDC - Extensive Services
24-25,725,NX,NX: Newcomer Program
24-25,725,SA,SA: SDC - Extensive Services Autism Focus
24-25,729,CB,CB: Cantonese Biliteracy
24-25,729,GE,GE: General Education
24-25,729,SE,SE: Spanish Immersion (Non-Native)
24-25,729,SN,SN: Spanish Immersion (Spanish Speakers)
24-25,723,CB,CB: Cantonese Biliteracy
24-25,723,GE,GE: General Education
24-25,723,SB,SB: Spanish Biliteracy
24-25,650,GE,GE: General Education
24-25,650,SB,SB: Spanish Biliteracy
24-25,735,GE,GE: General Education
24-25,928,GE,GE: General Education
24-25,651,CA,SDC Transition Program (CAT)
24-25,651,GE,GE: General Education
24-25,651,MM,MM: SDC - Mild to Moderate
24-25,746,GE,GE: General Education
24-25,746,ME,ME: Mandarin Immersion (Non-Native)
24-25,746,MN,MN: Mandarin Immersion (Mandarin Speakers)
24-25,638,CB,CB: Cantonese Biliteracy
24-25,638,GE,GE: General Education
24-25,786,AF,AF: SDC - Mild/Mod Autism Focus
24-25,786,GE,GE: General Education
24-25,786,JB,JB: Japanese Bilingual Bicultural Prgram
24-25,786,JE,JE: Japanese Bilingual Bicultural Program - English Cohort
24-25,786,JN,JN: Japanese Bilingual Bicultural Program - Japanese Cohort
24-25,786,MM,MM: SDC - Mild to Moderate
24-25,569,GE,GE: General Education
24-25,569,MM,MM: SDC - Mild to Moderate
24-25,975,GE,GE: General Education
24-25,778,AF,AF: SDC - Mild/Mod Autism Focus
24-25,778,AO,AO: SDC - Auditory/Oral
24-25,778,ED,ED: SDC - SOAR
24-25,778,GE,GE: General Education
24-25,778,JB,JB: Japanese Bilingual Bicultural Prgram
24-25,778,MM,MM: SDC - Mild to Moderate
24-25,778,MS,MS: SDC - Extensive Services
24-25,778,TC,TC: SDC - Total Communication
24-25,790,GE,GE: General Education
24-25,760,GE,GE: General Education
24-25,760,MM,MM: SDC - Mild to Moderate
24-25,760,SE,SE: Spanish Immersion (Non-Native)
24-25,760,SN,SN: Spanish Immersion (Spanish Speakers)
24-25,965,GE,GE: General Education
24-25,796,GE,GE: General Education
24-25,797,AF,AF: SDC - Mild/Mod Autism Focus
24-25,797,CN,CN: Cantonese Immersion (Cantonese Speakers)
24-25,797,GE,GE: General Education
24-25,797,MM,MM: SDC - Mild to Moderate
24-25,797,SA,SA: SDC - Extensive Services Autism Focus
24-25,816,GE,GE: General Education
24-25,816,MM,MM: SDC - Mild to Moderate
24-25,816,MS,MS: SDC - Extensive Services
24-25,816,SB,SB: Spanish Biliteracy
24-25,955,GE,GE: General Education
24-25,656,GE,GE: General Education
24-25,656,SB,SB: Spanish Biliteracy
24-25,493,GE,GE: General Education
24-25,621,CA,SDC Transition Program (CAT)
24-25,621,GX,GX: General Education Newcomer
24-25,621,MM,MM: SDC - Mild to Moderate
24-25,621,NC,NC: Chinese Newcomer
24-25,621,NS,NS: Spanish Newcomer
24-25,621,NX,NX: Newcomer Program
24-25,814,GE,GE: General Education
24-25,820,GE,GE: General Education
24-25,823,AF,AF: SDC - Mild/Mod Autism Focus
24-25,823,GE,GE: General Education
24-25,488,GE,GE: General Education
24-25,834,CB,CB: Cantonese Biliteracy
24-25,834,GE,GE: General Education
24-25,834,MM,MM: SDC - Mild to Moderate
24-25,834,SB,SB: Spanish Biliteracy
24-25,782,GE,GE: General Education
24-25,782,MM,MM: SDC - Mild to Moderate
24-25,915,GE,GE: General Education
24-25,842,GE,GE: General Education
24-25,842,MS,MS: SDC - Extensive Services
24-25,750,GE,GE: General Education
24-25,750,SA,SA: SDC - Extensive Services Autism Focus
24-25,848,CB,CB: Cantonese Biliteracy
24-25,848,GE,GE: General Education
24-25,513,AF,AF: SDC - Mild/Mod Autism Focus
24-25,513,CB,CB: Cantonese Biliteracy
24-25,513,GE,GE: General Education
